,base,rates
AED,EUR,4.260475
AFN,EUR,103.63853
ALL,EUR,121.563315
AMD,EUR,554.92516
ANG,EUR,2.082395
AOA,EUR,693.276623
ARS,EUR,115.003818
AUD,EUR,1.56366
AWG,EUR,2.08842
AZN,EUR,1.976454
BAM,EUR,1.9544169999999998
BBD,EUR,2.342355
BDT,EUR,99.274374
BGN,EUR,1.956424
BHD,EUR,0.43721000000000004
BIF,EUR,2316.342568
BMD,EUR,1.159911
BND,EUR,1.5638269999999999
BOB,EUR,8.016146
BRL,EUR,6.332772
BSD,EUR,1.160086
BTC,EUR,1.8790699e-05
BTN,EUR,86.955092
BWP,EUR,12.990941
BYN,EUR,2.8498390000000002
BYR,EUR,22734.258556
BZD,EUR,2.338437
CAD,EUR,1.435657
CDF,EUR,2332.581744
CHF,EUR,1.071064
CLF,EUR,0.034627
CLP,EUR,955.477269
CNY,EUR,7.464961
COP,EUR,4364.873251
CRC,EUR,728.705881
CUC,EUR,1.159911
CUP,EUR,30.737645
CVE,EUR,110.725576
CZK,EUR,25.381002
DJF,EUR,206.139866
DKK,EUR,7.440581
DOP,EUR,65.500639
DZD,EUR,159.152616
EGP,EUR,18.234245
ERN,EUR,17.400104
ETB,EUR,54.11031
EUR,EUR,1.0
FJD,EUR,2.44282
FKP,EUR,0.850472
GBP,EUR,0.8438789999999999
GEL,EUR,3.636368
GGP,EUR,0.850472
GHS,EUR,7.034908
GIP,EUR,0.850472
GMD,EUR,60.315792
GNF,EUR,11251.138575
GTQ,EUR,8.976483
GYD,EUR,242.484775
HKD,EUR,9.021847
HNL,EUR,28.098894
HRK,EUR,7.508574
HTG,EUR,115.433045
HUF,EUR,360.019069
IDR,EUR,16313.512385
ILS,EUR,3.736202
IMP,EUR,0.850472
INR,EUR,87.033979
IQD,EUR,1693.47028
IRR,EUR,48948.250973
ISK,EUR,149.385405
JEP,EUR,0.850472
JMD,EUR,174.378607
JOD,EUR,0.822423
JPY,EUR,132.671222
KES,EUR,128.692588
KGS,EUR,98.364875
KHR,EUR,4732.437902
KMF,EUR,492.556716
KPW,EUR,1043.919688
KRW,EUR,1371.931755
KWD,EUR,0.350027
KYD,EUR,0.966722
KZT,EUR,494.41244
LAK,EUR,11748.740451
LBP,EUR,1767.636008
LKR,EUR,234.335415
LRD,EUR,191.907743
LSL,EUR,17.062736
LTL,EUR,3.4249169999999998
LVL,EUR,0.701619
LYD,EUR,5.278037
MAD,EUR,10.504201
MDL,EUR,20.071085
MGA,EUR,4575.849892
MKD,EUR,61.570472
MMK,EUR,2221.547171
MNT,EUR,3306.819056
MOP,EUR,9.295536
MRO,EUR,414.088081
MUR,EUR,49.939716
MVR,EUR,17.921066
MWK,EUR,948.231702
MXN,EUR,23.592133
MYR,EUR,4.822956
MZN,EUR,74.037567
NAD,EUR,17.056538
NGN,EUR,476.573132
NIO,EUR,40.771314
NOK,EUR,9.755497
NPR,EUR,139.126789
NZD,EUR,1.6432959999999999
OMR,EUR,0.44656799999999996
PAB,EUR,1.160086
PEN,EUR,4.562515
PGK,EUR,4.094921
PHP,EUR,58.819529
PKR,EUR,198.581085
PLN,EUR,4.5688320000000004
PYG,EUR,8004.331713
QAR,EUR,4.223281
RON,EUR,4.949229
RSD,EUR,117.495027
RUB,EUR,82.33711
RWF,EUR,1154.111595
SAR,EUR,4.350379
SBD,EUR,9.342858
SCR,EUR,15.612785
SDG,EUR,512.105039
SEK,EUR,10.001618
SGD,EUR,1.563995
SHP,EUR,1.5976659999999998
SLL,EUR,12300.858147
SOS,EUR,677.388505
SRD,EUR,24.751929
STD,EUR,24007.81897
SVC,EUR,10.150915
SYP,EUR,1457.975867
SZL,EUR,17.056538
THB,EUR,38.747416
TJS,EUR,13.115815
TMT,EUR,4.04809
TND,EUR,3.275014
TOP,EUR,2.61282
TRY,EUR,10.750525
TTD,EUR,7.886786
TWD,EUR,32.434832
TZS,EUR,2673.595592
UAH,EUR,30.608864
UGX,EUR,4188.072593
USD,EUR,1.159911
UYU,EUR,50.800101
UZS,EUR,12416.849257
VEF,EUR,248024059269.22452
VND,EUR,26400.157748
VUV,EUR,130.253885
WST,EUR,2.989083
XAF,EUR,655.423665
XAG,EUR,0.049751
XAU,EUR,0.000656
XCD,EUR,3.134718
XDR,EUR,0.8214319999999999
XOF,EUR,654.190275
XPF,EUR,119.847863
YER,EUR,290.268188
ZAR,EUR,16.827458
ZMK,EUR,10440.596418
ZMW,EUR,19.936736
ZWL,EUR,373.490917
